Date,Precipitation
10/8/2020,
10/9/2020,
10/10/2020,
10/11/2020,
10/12/2020,
10/13/2020,
10/14/2020,
10/15/2020,
10/16/2020,
10/17/2020,
10/18/2020,
10/19/2020,
10/20/2020,
10/21/2020,
10/22/2020,0
10/23/2020,
10/24/2020,
10/25/2020,
10/26/2020,
10/27/2020,
10/28/2020,
10/29/2020,
10/30/2020,
10/31/2020,
11/1/2020,13.6
11/2/2020,1.7
11/3/2020,0.5
11/4/2020,
11/5/2020,
11/6/2020,
11/7/2020,0.1
11/8/2020,
11/9/2020,
11/10/2020,
11/11/2020,
11/12/2020,
11/13/2020,
11/14/2020,
11/15/2020,
11/16/2020,
11/17/2020,0.1
11/18/2020,12.2
11/19/2020,86.9
11/20/2020,0
11/21/2020,0.2
11/22/2020,4.8
11/23/2020,
11/24/2020,
11/25/2020,
11/26/2020,
11/27/2020,0
11/28/2020,
11/29/2020,
11/30/2020,
12/1/2020,
12/2/2020,
12/3/2020,
12/4/2020,
12/5/2020,
12/6/2020,
12/7/2020,
12/8/2020,
12/9/2020,
12/10/2020,0
12/11/2020,
12/12/2020,
12/13/2020,2.9
12/14/2020,
12/15/2020,
12/16/2020,
